연도,연번,상가유형,호선,역명,상가번호,면적(제곱미터),영업업종,계약시작일자,계약종료일자,월임대료,사업진행단계
2412,1,브랜드전문,1호선,서울(1)역,150-109,12,패션잡화,2023-01-16,2028-05-16,"₩3,225,582",
2412,2,개별(일반),1호선,시청(1)역,151-101,29.73,패션잡화,2022-08-02,2027-08-02,"₩3,166,600",
2412,3,개별(일반),1호선,시청(1)역,151-103,57.6,기타,2020-02-01,2025-01-31,"₩1,858,300",
2412,4,개별(일반),1호선,시청(1)역,151-104,25,플라워,2020-12-31,2026-01-30,"₩2,470,600",
2412,5,브랜드전문,1호선,시청(1)역,151-105,25,식음료,2021-06-03,2026-08-02,"₩4,145,884",
2412,6,개별(일반),1호선,시청(1)역,151-106,14,패션잡화,2017-09-19,2024-11-17,"₩1,805,400",
2412,7,개별(일반),1호선,시청(1)역,151-107,22,패션잡화,2020-09-18,2025-10-18,"₩2,613,800",
2412,8,개별(일반),1호선,종각역,152-101,36.85,기타,2024-12-18,2030-01-27,"₩1,870,800",
2412,9,개별(일반),1호선,종각역,152-104,18.64,플라워,2023-02-09,2028-03-11,"₩3,471,600",
2412,10,브랜드전문,1호선,종각역,152-105,29.3,편의점,2022-06-09,2027-08-08,"₩6,559,320",
2412,11,팝업스토어,1호선,종각역,152-106,30.7,기타,,,,
2412,12,개별(일반),1호선,종각역,152-107,11,플라워,2021-10-06,2026-11-05,"₩2,450,000",
2412,13,개별(일반),1호선,종각역,152-108,12,식음료,2021-08-23,2026-09-22,"₩5,680,000",
2412,14,입찰진행,1호선,종각역,152-109,42,,,,,3단계. 감정평가
2412,15,개별(일반),1호선,종각역,152-110,23.14,패션잡화,2022-08-08,2027-09-07,"₩2,310,000",
2412,16,공실,1호선,종각역,152-111,16.15,,,,,2단계. 시설물 점검
2412,17,입찰진행,1호선,종각역,152-112,21.82,,,,,5단계. 입찰공고
2412,18,입찰진행,1호선,종각역,152-113,19.14,,,,,3단계. 감정평가
2412,19,개별(일반),1호선,종각역,152-114,29.62,의약업,2023-06-19,2028-07-19,"₩7,511,100",
2412,20,입찰진행,1호선,종각역,152-115,29.4,,,,,5단계. 입찰공고
2412,21,공실,1호선,종로3가(1)역,153-101,23.4,,,,,2단계. 시설물 점검
